timestamp,ip_address,user_id,event_type,severity,status_code,response_time,log_message,is_anomaly
2025-01-13 13:07:32.455731,192.168.1.34,user_012,LOGIN,INFO,201,205.16,Success: LOGIN completed normally. Response time: 205.16ms,0
2025-01-13 13:08:40.455731,192.168.1.28,user_009,API_CALL,INFO,200,216.87,Success: API_CALL completed normally. Response time: 216.87ms,0
2025-01-13 13:33:36.455731,192.168.1.5,user_002,FILE_ACCESS,INFO,200,158.41,Success: FILE_ACCESS completed normally. Response time: 158.41ms,0
2025-01-13 13:40:18.455731,192.168.1.50,user_013,SYSTEM_UPDATE,ERROR,403,237.52,Client Error: SYSTEM_UPDATE request failed with status 403. Response time: 237.52ms,0
2025-01-13 13:51:22.455731,192.168.1.7,user_010,LOGOUT,ERROR,404,141.02,Client Error: LOGOUT request failed with status 404. Response time: 141.02ms,0
2025-01-13 13:53:32.455731,192.168.1.34,user_018,DATABASE_QUERY,INFO,201,198.05,Success: DATABASE_QUERY completed normally. Response time: 198.05ms,0
2025-01-13 13:55:47.455731,192.168.1.39,user_012,API_CALL,INFO,200,248.09,Success: API_CALL completed normally. Response time: 248.09ms,0
2025-01-13 14:07:23.455731,192.168.1.34,user_012,API_CALL,INFO,200,146.47,Success: API_CALL completed normally. Response time: 146.47ms,0
2025-01-13 14:07:42.455731,192.168.1.29,user_013,API_CALL,INFO,200,245.76,Success: API_CALL completed normally. Response time: 245.76ms,0
2025-01-13 14:18:41.455731,192.168.1.45,user_015,SYSTEM_UPDATE,CRITICAL,500,226.53,Server Error: SYSTEM_UPDATE failed with status 500. Response time: 226.53ms,1
2025-01-13 14:29:22.455731,192.168.1.31,user_002,SYSTEM_UPDATE,INFO,201,169.25,Success: SYSTEM_UPDATE completed normally. Response time: 169.25ms,0
2025-01-13 14:34:18.455731,192.168.1.50,user_001,DATABASE_QUERY,INFO,200,207.21,Success: DATABASE_QUERY completed normally. Response time: 207.21ms,0
2025-01-13 14:34:46.455731,192.168.1.49,user_002,SYSTEM_UPDATE,INFO,200,224.99,Success: SYSTEM_UPDATE completed normally. Response time: 224.99ms,0
2025-01-13 14:41:39.455731,192.168.1.8,user_008,SYSTEM_UPDATE,INFO,200,188.12,Success: SYSTEM_UPDATE completed normally. Response time: 188.12ms,0
2025-01-13 14:42:34.455731,192.168.1.50,user_019,API_CALL,INFO,200,246.92,Success: API_CALL completed normally. Response time: 246.92ms,0
2025-01-13 15:10:11.455731,192.168.1.47,user_004,LOGIN,INFO,201,176.03,Success: LOGIN completed normally. Response time: 176.03ms,0
2025-01-13 15:35:50.455731,192.168.1.47,user_001,FILE_ACCESS,INFO,200,199.98,Success: FILE_ACCESS completed normally. Response time: 199.98ms,0
2025-01-13 15:45:23.455731,192.168.1.44,user_003,DATABASE_QUERY,INFO,200,231.94,Success: DATABASE_QUERY completed normally. Response time: 231.94ms,0
2025-01-13 16:01:00.455731,192.168.1.4,user_009,LOGIN,INFO,200,182.27,Success: LOGIN completed normally. Response time: 182.27ms,0
2025-01-13 16:03:16.455731,192.168.1.2,user_001,DATABASE_QUERY,INFO,200,186.57,Success: DATABASE_QUERY completed normally. Response time: 186.57ms,0
2025-01-13 16:12:52.455731,192.168.1.26,user_007,SYSTEM_UPDATE,ERROR,400,264.56,Client Error: SYSTEM_UPDATE request failed with status 400. Response time: 264.56ms,0
2025-01-13 16:13:42.455731,192.168.1.13,user_019,SYSTEM_UPDATE,INFO,200,229.54,Success: SYSTEM_UPDATE completed normally. Response time: 229.54ms,0
2025-01-13 16:17:32.455731,192.168.1.7,user_005,LOGIN,INFO,201,301.24,Success: LOGIN completed normally. Response time: 301.24ms,0
2025-01-13 16:27:45.455731,192.168.1.47,user_018,API_CALL,INFO,200,275.09,Success: API_CALL completed normally. Response time: 275.09ms,0
2025-01-13 16:45:28.455731,192.168.1.24,user_015,API_CALL,ERROR,404,192.35,Client Error: API_CALL request failed with status 404. Response time: 192.35ms,0
2025-01-13 16:52:22.455731,192.168.1.47,user_017,DATABASE_QUERY,ERROR,400,208.96,Client Error: DATABASE_QUERY request failed with status 400. Response time: 208.96ms,0
2025-01-13 16:56:54.455731,192.168.1.42,user_003,FILE_ACCESS,INFO,200,306.48,Success: FILE_ACCESS completed normally. Response time: 306.48ms,0
2025-01-13 16:57:39.455731,192.168.1.13,user_015,SYSTEM_UPDATE,INFO,200,180.24,Success: SYSTEM_UPDATE completed normally. Response time: 180.24ms,0
2025-01-13 17:05:32.455731,192.168.1.46,user_018,DATABASE_QUERY,ERROR,401,269.22,Client Error: DATABASE_QUERY request failed with status 401. Response time: 269.22ms,0
2025-01-13 17:22:39.455731,192.168.1.7,user_007,DATABASE_QUERY,INFO,200,172.8,Success: DATABASE_QUERY completed normally. Response time: 172.80ms,0
2025-01-13 17:29:14.455731,192.168.1.2,user_020,DATABASE_QUERY,INFO,200,219.37,Success: DATABASE_QUERY completed normally. Response time: 219.37ms,0
2025-01-13 17:29:20.455731,192.168.1.11,user_020,LOGIN,INFO,200,160.76,Success: LOGIN completed normally. Response time: 160.76ms,0
2025-01-13 17:31:07.455731,192.168.1.13,user_017,SYSTEM_UPDATE,INFO,200,298.7,Success: SYSTEM_UPDATE completed normally. Response time: 298.70ms,0
2025-01-13 17:53:32.455731,192.168.1.50,user_003,SYSTEM_UPDATE,INFO,200,246.23,Success: SYSTEM_UPDATE completed normally. Response time: 246.23ms,0
2025-01-13 18:00:58.455731,192.168.1.28,user_003,DATABASE_QUERY,INFO,200,193.36,Success: DATABASE_QUERY completed normally. Response time: 193.36ms,0
2025-01-13 18:01:39.455731,192.168.1.43,user_013,FILE_ACCESS,INFO,200,177.87,Success: FILE_ACCESS completed normally. Response time: 177.87ms,0
2025-01-13 18:34:55.455731,192.168.1.50,user_011,API_CALL,INFO,201,175.68,Success: API_CALL completed normally. Response time: 175.68ms,0
2025-01-13 18:35:40.455731,192.168.1.6,user_009,LOGOUT,INFO,200,213.86,Success: LOGOUT completed normally. Response time: 213.86ms,0
2025-01-13 18:59:43.455731,192.168.1.4,user_014,SYSTEM_UPDATE,INFO,200,246.23,Success: SYSTEM_UPDATE completed normally. Response time: 246.23ms,0
2025-01-13 19:03:00.455731,192.168.1.43,user_003,FILE_ACCESS,INFO,200,273.5,Success: FILE_ACCESS completed normally. Response time: 273.50ms,0
2025-01-13 19:08:11.455731,192.168.1.41,user_005,SYSTEM_UPDATE,INFO,201,281.56,Success: SYSTEM_UPDATE completed normally. Response time: 281.56ms,0
2025-01-13 19:13:18.455731,192.168.1.5,user_014,FILE_ACCESS,INFO,200,189.76,Success: FILE_ACCESS completed normally. Response time: 189.76ms,0
2025-01-13 19:41:11.455731,192.168.1.23,user_019,SYSTEM_UPDATE,ERROR,400,165.49,Client Error: SYSTEM_UPDATE request failed with status 400. Response time: 165.49ms,0
2025-01-13 19:47:11.455731,192.168.1.24,user_009,FILE_ACCESS,INFO,200,193.86,Success: FILE_ACCESS completed normally. Response time: 193.86ms,0
2025-01-13 19:49:51.455731,192.168.1.14,user_001,DATABASE_QUERY,INFO,200,273.43,Success: DATABASE_QUERY completed normally. Response time: 273.43ms,0
2025-01-13 20:00:34.455731,192.168.1.36,user_014,FILE_ACCESS,INFO,200,145.17,Success: FILE_ACCESS completed normally. Response time: 145.17ms,0
